EngName,ChiName
 Aduan,阿段
 Aji,阿稽
 Arong,阿容
 Aruan,阿軟
 Awang,阿汪
 Azui,阿最
 Beidu,杯渡
 Biyu,碧玉
 Chaozong,朝宗
 Chisong,赤松
 Chuer,楚兒
 Chuncao,春草
 Chunmei,春梅
 Cuoetianhuang,嵯峨天皇
 Damingjun,大明俊
 Danxia,丹霞
 Demai,德邁
 Dingzi,定子
 Dongdong,東東
 Duoerzhi,朶兒只
 Duomei,多美
 Echu,額楚
 Eerdeng,額爾登
 Eerte,額爾忒
 Elahun,額拉混
 Elebu,額勒布
 Eliyin,額哩音
 Elunbu,額倫布
 Elunte,額倫忒
 Elunte,額倫特
 Etehe,額特赫
 Fanxuzhou,汎虛舟
 Feiyan,飛燕
 Fubai,服柏
 Gaolian,縞練
 Guanzhesijian,管者思監
 Hongxian,紅線
 Huanniang,歡娘
 Huixue,回雪
 Jiansheng,騫生
 Juyan,劇燕
 Kuikui,巙巙
 Laier,萊兒
 Lianhuaji,蓮花妓
 Luozhen,洛真
 Mailigusi,邁里古思
 Maoying,茂英
 Meiniang,眉娘
 Miaonv,妙女
 Nanyue,南越
 Qingfeng,輕鳳
 Qingqing,卿卿
 Qingyuan,淸遠
 Qingyuanjushi,淸遠居士
 Qiongzhen,瓊貞
 Rouqing,柔卿
 Shengshangren,昇上人
 Shenhezi,神和子
 Siqi,思齊
 Taibaidaoshi,太白道士
 Tainiang,泰娘
 Taiyizi,太乙子
 Tiande,天得
 Tieshan,鐵山
 Tongguzi,同谷子
 Tuoshan,拓善
 Woyun,臥雲
 Xiange,僊哥
 Xingyun,行雲
 Xuanshi,儇師
 Yaojian,遙見
 Yaoniang,窅娘
 Yaoniang,窈娘
 Yingcai,英才
 Yingshi,穎師
 Yingying,英英
 Yuangong,遠公
 Yuanguo,遠國
 Yuebin,越賓
 Yuezhen,月真
 Yuezhijiegui,越質詰歸
 Zhenzhu,真珠
 Zhongjuchou,鍾俱仇
 Zhonglian,重蓮
 Zhonglisu,鍾利俗
 Zhuozhuo,灼灼
A  Ligu,阿里骨
A Chou,阿丑
A Duoni,阿多尼
A Erqin,阿爾親
A Hada,阿哈達
A Hadan,阿哈旦
A Hashan,阿哈善
A Honga,阿洪阿
A Ji,阿寄
A Keshan,阿克山
A Lejin,阿勒金
A Longa,阿隆阿
A Qilin,阿其麟
A Qing,阿清
A Shenta,阿什他
A Shina,阿史那
A Shinaaboshe,阿史那阿波設
A Shinabuzhen,阿史那步真
A Shinachuoluokehan,阿史那啜羅可汗
A Shinahuaidao,阿史那懷道
A Shinahuseluo,阿史那斛瑟羅
A Shinaqiminkehan,阿史那啟民可汗
A Sitai,阿思泰
A Tianlin,阿天麟
A Tugu,阿土古
A Yinglin,阿應鱗
A Youdian,阿有典
ALuoHan Mou,阿羅憾某
Abaha,阿八哈
Abantu,阿般圖
Abao,阿保
Abei Zhongmalv,阿倍仲麻呂
Abicha,阿必察
Abichihe,阿必赤合
Abilule Suofeiyinga,阿畢魯勒索費英阿
Abishiha,阿必實哈
Abishike,阿必實克
Aboerjijite Aleqinga,阿博爾濟吉特阿勒清阿
Abogu,阿波古
Abucha,阿不察
Abudula,阿布都拉
Abugan,阿部干
Abuhaiya,阿不海牙
Abuhan,阿不罕
Abuhua,阿不花
Abuna,阿布納
Abunu Fusheng,阿布努富陞
Abusa,阿不撒
Acha,阿察
Achachi,阿察赤
Achaer,阿察兒
Achanga,阿昌阿
Achayashili,阿察雅實禮
Acheng,阿成
Achenge,阿成峨
Achi,阿赤
Achu,阿出
Achuge,阿出哥
Acichigu,阿刺赤古
